school_name,address,postal_code,url_address,region,education_level,lat,lon
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,http://www.chijpritoapayoh.moe.edu.sg,Central,Primary,1.332,103.848
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH   ,319764,http://www.chijsec.edu.sg,Central,Secondary,1.332,103.848
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY   ,548595,http://www.chijstjosephsconvent.moe.edu.sg,North,Secondary,1.392,103.893
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,http://www.chijstnicholasgirls.moe.edu.sg,North,Mixed Level,1.369,103.845
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD   ,099138,http://www.chijsttheresasconvent.moe.edu.sg,Central,Secondary,1.27,103.815
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,http://www.chongfu.moe.edu.sg/,North,Primary,1.428,103.837
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,http://www.chongzhengpri.moe.edu.sg,East,Primary,1.352,103.944
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17   ,737924,http://www.christchurchsec.moe.edu.sg,North,Secondary,1.436,103.786
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,http://www.chuachukangpri.moe.edu.sg,West,Primary,1.384,103.745
CHUA CHU KANG SECONDARY SCHOOL,31 TECK WHYE CRESCENT   ,688848,http://www.chuachukangsec.moe.edu.sg,West,Secondary,1.384,103.745
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD   ,439012,http://www.chungchenghighmain.moe.edu.sg,Central,Secondary,1.304,103.905
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61   ,768547,http://www.chungchenghighyishun.moe.edu.sg,North,Secondary,1.428,103.837
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,http://www.clementipri.moe.edu.sg,West,Primary,1.312,103.766
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3   ,129904,http://www.clementitownsec.moe.edu.sg,West,Secondary,1.312,103.766
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD   ,608784,http://www.commonwealthsec.moe.edu.sg,West,Secondary,1.334,103.743
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,http://www.compassvalepri.moe.edu.sg/,North,Primary,1.392,103.893
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT   ,545083,http://www.compassvalesec.moe.edu.sg,North,Secondary,1.392,103.893
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,http://www.concordpri.moe.edu.sg/,West,Primary,1.384,103.745
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,http://www.corporationpri.moe.edu.sg,West,Primary,1.34,103.702
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD   ,247961,http://www.crescent.edu.sg,Central,Secondary,1.315,103.81
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24   ,609561,http://www.crestsec.edu.sg,West,Secondary,1.334,103.743
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,http://www.damaipri.moe.edu.sg,East,Primary,1.329,103.921
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD   ,479229,http://www.damaisec.moe.edu.sg,East,Secondary,1.329,103.921
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,http://www.dazhongpri.moe.edu.sg,West,Primary,1.359,103.752
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,http://www.delasalle.moe.edu.sg,West,Primary,1.384,103.745
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42   ,569277,http://www.deyisec.moe.edu.sg,North,Secondary,1.369,103.845
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2   ,659204,http://www.dunearnsec.moe.edu.sg,West,Secondary,1.359,103.752
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD   ,436895,http://www.dunmanhigh.moe.edu.sg,Central,Secondary,1.304,103.905
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45   ,529093,http://www.dunmansec.moe.edu.sg,East,Secondary,1.352,103.944
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,http://www.eastspringpri.moe.edu.sg,East,Primary,1.352,103.944
